customer_id,recency_days,frequency_365d,monetary_365d,average_ticket,ecommerce_share,distinct_categories,repurchase_90d,r_score,f_score,m_score,rfm_score,segment
1,2,310,180209.02,581.32,0.0903,5,1,3,3,3,9,Alto valor
2,17,176,103151.75,586.09,0.1932,5,0,2,3,3,8,Alto valor
3,1,118,69923.77,592.57,0.8051,5,0,3,3,3,9,Alto valor
5,3,71,37435.36,527.26,0.1972,5,1,3,3,3,9,Alto valor
6,1,48,28058.97,584.56,0.5,5,1,3,3,3,9,Alto valor
7,30,55,32917.23,598.5,0.9636,5,0,1,3,3,7,Alto valor
8,5,43,24714.73,574.76,0.8605,5,1,3,3,3,9,Alto valor
9,4,43,23688.74,550.9,0.8372,5,1,3,3,3,9,Alto valor
10,7,35,17918.2,511.95,0.9429,5,1,3,3,3,9,Alto valor
11,4,38,25813.79,679.31,0.5789,5,1,3,3,3,9,Alto valor
12,1,57,34627.49,607.5,0.5088,5,0,3,3,3,9,Alto valor
13,10,38,21846.81,574.92,0.8421,5,1,2,3,3,8,Alto valor
15,29,24,12712.81,529.7,0.2083,5,1,1,3,3,7,Alto valor
17,35,39,22859.58,586.14,0.5385,5,0,1,3,3,7,Alto valor
18,22,25,15554.04,622.16,1.0,5,1,2,3,3,8,Alto valor
19,3,36,16408.86,455.8,0.7778,5,1,3,3,3,9,Alto valor
20,16,21,11836.75,563.65,0.0476,5,1,2,3,3,8,Alto valor
21,42,32,15498.5,484.33,0.5313,5,0,1,3,3,7,Alto valor
22,12,31,16369.76,528.06,0.6129,5,1,2,3,3,8,Alto valor
23,4,5,3246.51,649.3,1.0,5,1,3,1,1,5,Potencial
25,3,21,9915.87,472.18,0.8095,5,1,3,3,3,9,Alto valor
26,9,9,4873.85,541.54,0.5556,5,1,2,2,1,5,Potencial
27,24,33,18957.44,574.47,0.2424,5,0,1,3,3,7,Alto valor
29,5,16,9240.03,577.5,0.8125,5,1,3,3,3,9,Alto valor
31,7,7,3283.5,469.07,0.7143,5,1,3,1,1,5,Potencial
32,1,7,2428.05,346.86,0.0,5,1,3,1,1,5,Potencial
33,20,14,9058.41,647.03,0.9286,5,1,2,2,3,7,Alto valor
34,2,23,12187.31,529.88,0.087,5,1,3,3,3,9,Alto valor
36,1,20,11952.03,597.6,0.2,5,1,3,3,3,9,Alto valor
37,19,8,5103.85,637.98,0.5,5,1,2,1,2,5,Potencial
38,10,1,568.95,568.95,1.0,1,1,2,1,1,4,Manutencao
39,5,20,12006.85,600.34,0.6,5,1,3,3,3,9,Alto valor
40,15,26,15353.55,590.52,0.1154,5,0,2,3,3,8,Alto valor
41,5,19,13099.33,689.44,1.0,5,1,3,3,3,9,Alto valor
43,21,18,8560.06,475.56,0.6111,5,1,2,3,2,7,Alto valor
